Course Code,Course Module,Grade,GPA
HIS 10100,Contested Island,B-,3.2
HIS 10200,"Revolution, Reaction and Revision ",B-,3.2
INRL 10040,Intro to International Politics,A-,3.8
POL 10120,Globalisation and Development,B+,3.6
POL 10130,The Politics of Great Nations,A+,4.2
HIS 10070,"The Making of Modern Europe, 1500 -2000",D,2.2
HIS 10080,Rome to Renaissance,B,3.4
POL 10010,Intro to the Irish Political System,B+,3.6
