Course Code,Course Module,Grade,GPA
HIS 31410,"History of the Soviet Union, 1917 -1991",B,3.4
INRL 30130,International Political Economy,C+,3
INRL 30190,Middle East Politics,B,3.4
HIS 31320,"The Irish Revolution, 1910 -1923",B,3.4
HIS 31580,"The West and the Middle East, 1919 -1973 ",B-,3.2
HIS 31600,Debates in History,B-,3.2
POL 30060,Politics of Nationalism,B-,3.2
POL 30160,Latin American Politics ,B,3.4
